city,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,target
city_114,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,1.0
city_103,Missing,No relevent experience,no_enrollment,Graduate,STEM,12,Missing,Missing,4,0.0
city_71,Male,No relevent experience,no_enrollment,Graduate,STEM,3,Missing,Missing,never,0.0
city_114,Female,Has relevent experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,0.0
city_104,Male,Has relevent experience,no_enrollment,High School,STEM,4,10/49,Pvt Ltd,2,0.0
city_21,Missing,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,1.0
city_64,Missing,No relevent experience,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,never,0.0
city_21,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,1.0
city_21,Female,No relevent experience,Full time course,Masters,STEM,5,Missing,Missing,never,1.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,never,1.0
city_103,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,1.0
city_101,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,Missing,Missing,>4,1.0
city_83,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,1,0.0
city_101,Male,No relevent experience,no_enrollment,Graduate,STEM,4,Missing,Missing,1,1.0
city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,0.0
city_105,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,0.0
city_104,Missing,Has relevent experience,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,2,0.0
city_114,Male,No relevent experience,Full time course,High School,STEM,4,10000+,Pvt Ltd,1,0.0
city_104,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,0.0
city_73,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,2,0.0
city_21,Missing,Has relevent experience,Full time course,Graduate,STEM,2,10/49,Funded Startup,1,1.0
city_162,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,1.0
city_67,Male,Has relevent experience,Part time course,Graduate,STEM,6,Missing,Missing,1,0.0
city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,3,0.0
city_41,Missing,Has relevent experience,no_enrollment,Masters,STEM,13,<10,Missing,1,0.0
city_100,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,>4,0.0
city_11,Missing,No relevent experience,Full time course,High School,STEM,3,Missing,Missing,1,0.0
city_93,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,1.0
city_67,Other,No relevent experience,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,4,0.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Missing,Missing,>4,0.0
city_16,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,0.0
city_90,Missing,No relevent experience,no_enrollment,Graduate,STEM,2,Missing,Pvt Ltd,never,1.0
city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,4,0.0
city_21,Male,No relevent experience,Full time course,Graduate,STEM,<1,Missing,Missing,never,1.0
city_13,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Pvt Ltd,1,0.0
city_67,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Missing,1,0.0
city_11,Missing,No relevent experience,Full time course,Graduate,STEM,<1,Missing,Missing,never,0.0
city_103,Missing,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,0.0
city_36,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,0.0
city_103,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,0.0
city_67,Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,0.0
city_103,Female,Has relevent experience,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,0.0
city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,0.0
city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Missing,1,0.0
city_20,Missing,Has relevent experience,Part time course,Masters,STEM,4,50-99,Funded Startup,1,0.0
city_71,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Early Stage Startup,1,0.0
city_57,Female,No relevent experience,Part time course,Graduate,STEM,<1,10/49,Pvt Ltd,2,0.0
city_103,Missing,No relevent experience,Full time course,High School,STEM,4,Missing,Missing,3,0.0
city_152,Male,No relevent experience,Full time course,Masters,STEM,11,Missing,Public Sector,2,0.0
city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Missing,1,0.0
city_61,Male,No relevent experience,Full time course,Graduate,STEM,4,Missing,Missing,1,0.0
city_16,Male,No relevent experience,no_enrollment,High School,STEM,3,Missing,Missing,never,0.0
city_103,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,1.0
city_19,Missing,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,2,1.0
city_103,Missing,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,NGO,1,0.0
city_65,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,0.0
city_160,Missing,No relevent experience,Full time course,High School,STEM,2,100-500,Pvt Ltd,1,0.0
city_74,Missing,No relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,0.0
city_65,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,1.0
city_11,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,2,1.0
city_11,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,1.0
city_173,Missing,No relevent experience,no_enrollment,Masters,STEM,>20,Missing,Missing,1,0.0
city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,500-999,NGO,>4,0.0
city_103,Missing,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,Missing,1,0.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,0.0
city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,0.0
city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,0.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,1.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,0.0
city_73,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,Missing,Missing,4,0.0
city_67,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,0.0
city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,0.0
city_98,Male,No relevent experience,Full time course,Graduate,STEM,4,Missing,Missing,1,1.0
city_21,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,NGO,2,0.0
city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Missing,1,0.0
city_97,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,0.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,1.0
city_90,Missing,Has relevent experience,Full time course,Graduate,STEM,7,<10,NGO,1,0.0
city_50,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,0.0
city_160,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,0.0
city_21,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,0.0
city_16,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,1.0
city_173,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,0.0
city_138,Male,Has relevent experience,Full time course,Masters,STEM,7,Missing,Missing,1,0.0
city_82,Male,Has relevent experience,Full time course,Graduate,STEM,11,10/49,Pvt Ltd,2,0.0
city_67,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,0.0
city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,NGO,>4,0.0
city_103,Female,No relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,0.0
city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,1.0
city_36,Missing,No relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,0.0
city_114,Male,No relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,0.0
city_102,Missing,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,3,0.0
city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,Missing,Missing,4,0.0
city_102,Male,No relevent experience,no_enrollment,High School,STEM,2,<10,NGO,never,0.0
city_103,Missing,No relevent experience,no_enrollment,Phd,STEM,>20,Missing,Missing,1,0.0
city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,3,Missing,Missing,1,0.0
city_103,Male,No relevent experience,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1,1.0
city_11,Missing,No relevent experience,Full time course,Graduate,STEM,2,Missing,Missing,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Funded Startup,1,0.0
city_90,Female,No relevent experience,Full time course,Masters,STEM,5,Missing,Missing,4,1.0
city_21,Female,Has relevent experience,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,2,0.0
city_160,Male,No relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,0.0
city_57,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,>4,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,0.0
city_114,Missing,Has relevent experience,no_enrollment,Masters,STEM,>20,Missing,Missing,never,0.0
city_157,Missing,Has relevent experience,no_enrollment,Graduate,No Major,14,10000+,Missing,>4,0.0
city_73,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,Missing,Missing,2,1.0
city_67,Male,Has relevent experience,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,never,0.0
city_103,Male,No relevent experience,no_enrollment,High School,STEM,4,Missing,Missing,never,0.0
city_114,Missing,Has relevent experience,no_enrollment,High School,STEM,9,10/49,Missing,4,0.0
city_103,Male,Has relevent experience,Full time course,High School,STEM,4,Missing,Missing,1,1.0
city_103,Male,No relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,>4,0.0
city_16,Missing,Has relevent experience,no_enrollment,Graduate,STEM,11,Missing,Missing,1,0.0
city_16,Missing,Has relevent experience,no_enrollment,Masters,Arts,>20,1000-4999,NGO,>4,0.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,1.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Missing,Missing,>4,0.0
city_89,Male,Has relevent experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,1.0
city_114,Male,No relevent experience,no_enrollment,High School,STEM,6,Missing,Pvt Ltd,never,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,0.0
city_75,Missing,Has relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,never,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,100-500,Pvt Ltd,2,0.0
city_102,Missing,No relevent experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,>4,0.0
city_160,Missing,Has relevent experience,no_enrollment,Graduate,STEM,18,Missing,Missing,1,1.0
city_103,Female,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,0.0
city_150,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,100-500,Pvt Ltd,>4,0.0
city_73,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Public Sector,>4,1.0
city_67,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,4,0.0
city_70,Missing,Has relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,>4,0.0
city_90,Male,Has relevent experience,Part time course,Masters,STEM,5,<10,Early Stage Startup,1,0.0
city_16,Missing,No relevent experience,Full time course,High School,STEM,3,Missing,Missing,1,0.0
city_173,Female,Has relevent experience,Part time course,High School,STEM,2,100-500,NGO,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,0.0
city_98,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Public Sector,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10/49,Pvt Ltd,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Funded Startup,1,0.0
city_175,Missing,Has relevent experience,Full time course,Graduate,STEM,4,10/49,Funded Startup,1,0.0
city_94,Male,No relevent experience,Full time course,Graduate,STEM,5,5000-9999,Missing,1,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,1,0.0
city_104,Male,No relevent experience,Full time course,High School,STEM,6,Missing,Missing,never,0.0
city_28,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,>4,0.0
city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,never,0.0
city_136,Male,Has relevent experience,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,1,0.0
city_21,Missing,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,>4,1.0
city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,0.0
city_115,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10/49,Pvt Ltd,>4,1.0
city_94,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Early Stage Startup,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,1,0.0
city_21,Male,No relevent experience,Full time course,Masters,STEM,2,Missing,Missing,never,0.0
city_16,Male,No relevent experience,Full time course,Masters,STEM,13,Missing,Missing,3,1.0
city_83,Male,No relevent experience,no_enrollment,High School,STEM,1,Missing,Missing,1,0.0
city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Funded Startup,never,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,<10,Early Stage Startup,2,0.0
city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,0.0
city_36,Male,Has relevent experience,no_enrollment,High School,STEM,>20,Missing,Missing,never,0.0
city_65,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,Missing,Missing,never,0.0
city_71,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Early Stage Startup,2,0.0
city_100,Missing,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,1,1.0
city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,2,500-999,Public Sector,1,0.0
city_59,Missing,Has relevent experience,no_enrollment,Graduate,STEM,7,10/49,Pvt Ltd,1,0.0
city_21,Missing,Has relevent experience,Full time course,Graduate,STEM,5,10000+,Pvt Ltd,1,0.0
city_165,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,1.0
city_11,Missing,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,1.0
city_103,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,50-99,Early Stage Startup,1,0.0
city_160,Missing,Has relevent experience,Full time course,Graduate,Business Degree,>20,Missing,Missing,>4,1.0
city_103,Male,Has relevent experience,no_enrollment,Masters,Other,>20,100-500,Pvt Ltd,>4,0.0
city_21,Male,No relevent experience,Full time course,Graduate,STEM,2,Missing,Missing,never,0.0
city_21,Missing,Has relevent experience,no_enrollment,Masters,STEM,<1,10/49,Pvt Ltd,1,1.0
city_145,Missing,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,0.0
city_21,Male,No relevent experience,Full time course,Graduate,STEM,3,Missing,Pvt Ltd,never,0.0
city_160,Missing,No relevent experience,no_enrollment,Primary School,STEM,4,Missing,Pvt Ltd,never,0.0
city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Funded Startup,1,0.0
city_73,Missing,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,4,0.0
city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,0.0
city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,3,Missing,Pvt Ltd,never,0.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,0.0
city_28,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,0.0
city_114,Male,No relevent experience,Part time course,Phd,STEM,>20,50-99,Missing,>4,0.0
city_28,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,0.0
city_21,Missing,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Pvt Ltd,1,0.0
city_102,Missing,No relevent experience,no_enrollment,Masters,STEM,6,10/49,Pvt Ltd,1,0.0
city_16,Male,No relevent experience,Full time course,Graduate,STEM,2,Missing,Missing,never,1.0
city_160,Male,Has relevent experience,Part time course,Graduate,STEM,>20,50-99,Public Sector,>4,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,2,0.0
city_103,Male,No relevent experience,Full time course,Graduate,STEM,5,Missing,Missing,never,0.0
city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,2,0.0
city_173,Missing,No relevent experience,no_enrollment,Graduate,STEM,5,Missing,Missing,1,0.0
city_142,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Funded Startup,>4,0.0
city_16,Missing,No relevent experience,Full time course,Graduate,STEM,2,Missing,Missing,2,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,500-999,Pvt Ltd,2,0.0
city_73,Missing,Has relevent experience,Full time course,High School,STEM,9,Missing,Missing,>4,0.0
city_165,Male,Has relevent experience,no_enrollment,Masters,STEM,19,100-500,Pvt Ltd,4,0.0
city_71,Female,No relevent experience,no_enrollment,Phd,STEM,3,1000-4999,Public Sector,1,0.0
city_165,Missing,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,2,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,0.0
city_21,Missing,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,>4,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Public Sector,1,0.0
city_103,Male,No relevent experience,Full time course,High School,STEM,3,10000+,Pvt Ltd,1,0.0
city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,13,100-500,Missing,>4,0.0
city_102,Male,Has relevent experience,Full time course,High School,STEM,9,Missing,Missing,1,0.0
city_114,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,0.0
city_26,Male,No relevent experience,Full time course,High School,STEM,8,Missing,Missing,never,0.0
city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,>4,0.0
city_21,Missing,Has relevent experience,Full time course,Masters,STEM,4,50-99,NGO,2,0.0
city_103,Other,No relevent experience,Part time course,High School,STEM,6,50-99,Funded Startup,1,0.0
city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,3,0.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Missing,Missing,>4,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,NGO,>4,0.0
city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,6,10/49,Pvt Ltd,1,1.0
city_21,Missing,No relevent experience,Full time course,Graduate,STEM,7,Missing,Missing,never,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,500-999,Pvt Ltd,1,0.0
city_36,Missing,No relevent experience,no_enrollment,Graduate,Business Degree,2,50-99,Pvt Ltd,1,0.0
city_46,Other,Has relevent experience,Part time course,High School,STEM,3,10/49,Pvt Ltd,1,0.0
city_138,Male,Has relevent experience,no_enrollment,Masters,STEM,14,Missing,Missing,1,0.0
city_64,Male,Has relevent experience,Part time course,Graduate,STEM,9,10/49,Pvt Ltd,1,1.0
city_64,Other,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,1.0
city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,Missing,Missing,1,1.0
city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Missing,>4,0.0
city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,11,10/49,Early Stage Startup,1,0.0
city_71,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,0.0
city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,Missing,Missing,3,0.0
city_21,Male,No relevent experience,Full time course,Graduate,STEM,2,Missing,Missing,never,0.0
city_83,Male,No relevent experience,no_enrollment,Masters,STEM,3,10000+,Pvt Ltd,never,0.0
city_103,Missing,No relevent experience,no_enrollment,High School,STEM,5,Missing,Missing,1,1.0
city_103,Missing,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,3,0.0
city_16,Missing,No relevent experience,no_enrollment,Primary School,STEM,5,Missing,Missing,never,0.0
city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,Missing,Missing,1,1.0
city_83,Male,No relevent experience,no_enrollment,Primary School,STEM,1,Missing,Pvt Ltd,never,0.0
city_160,Male,Has relevent experience,Part time course,Graduate,STEM,5,1000-4999,Public Sector,2,0.0
city_16,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,0.0
city_114,Male,No relevent experience,no_enrollment,High School,STEM,10,100-500,Pvt Ltd,>4,0.0
city_114,Male,Has relevent experience,no_enrollment,High School,STEM,7,50-99,Pvt Ltd,>4,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Funded Startup,1,0.0
city_103,Missing,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,2,0.0
city_160,Male,Has relevent experience,Full time course,Graduate,STEM,6,Missing,Missing,1,0.0
